threshold,TP,FP,TN,FN,precision,recall
0.0,28,53,0,0,0.345679012345679,1.0
0.05,26,45,8,2,0.36619718309859156,0.9285714285714286
0.1,24,37,16,4,0.39344262295081966,0.8571428571428571
0.15000000000000002,21,24,29,7,0.4666666666666667,0.75
0.2,13,14,39,15,0.48148148148148145,0.4642857142857143
0.25,11,6,47,17,0.6470588235294118,0.39285714285714285
0.30000000000000004,10,1,52,18,0.9090909090909091,0.35714285714285715
0.35000000000000003,9,0,53,19,1.0,0.32142857142857145
0.4,9,0,53,19,1.0,0.32142857142857145
0.45,9,0,53,19,1.0,0.32142857142857145
0.5,9,0,53,19,1.0,0.32142857142857145
0.55,9,0,53,19,1.0,0.32142857142857145
0.6000000000000001,9,0,53,19,1.0,0.32142857142857145
0.65,9,0,53,19,1.0,0.32142857142857145
0.7000000000000001,9,0,53,19,1.0,0.32142857142857145
0.75,9,0,53,19,1.0,0.32142857142857145
0.8,9,0,53,19,1.0,0.32142857142857145
0.8500000000000001,9,0,53,19,1.0,0.32142857142857145
0.9,9,0,53,19,1.0,0.32142857142857145
0.9500000000000001,9,0,53,19,1.0,0.32142857142857145
1.0,0,0,53,28,1,0.0
